week,initial_claims,initial_claims_seasonal_factor,sa_initial_claims,sa_initial_claims4_week,continuing_claims,continuing_claims_seasonal_factor,sa_continuing_claims,sa_continuing_claims4_week,insured_unemployment_rate,sa_insured_unemployment_rate,covered_employment
1971-01-02,443000.0,146.6,303000.0,304750.0,2757000.0,131.2,2102000.0,2166500.0,5.2,3.9,53221100.0
1971-01-09,500000.0,173.9,288000.0,300250.0,2829000.0,133.2,2124000.0,2149250.0,5.3,4.0,53221100.0
1971-01-16,452000.0,151.4,299000.0,302750.0,2798000.0,133.2,2100000.0,2118250.0,5.3,3.9,53221100.0
1971-01-23,399000.0,127.8,312000.0,300500.0,2794000.0,133.6,2091000.0,2104250.0,5.2,3.9,53221100.0
1971-01-30,353000.0,121.0,292000.0,297750.0,2781000.0,133.3,2086000.0,2100250.0,5.2,3.9,53221100.0
1971-02-06,375000.0,126.6,296000.0,299750.0,2761000.0,130.3,2120000.0,2099250.0,5.2,4.0,53221100.0
1971-02-13,333000.0,118.5,282000.0,295500.0,2744000.0,132.0,2079000.0,2094000.0,5.2,3.9,53221100.0
1971-02-20,286000.0,106.9,268000.0,284500.0,2782000.0,131.2,2120000.0,2101250.0,5.2,4.0,53221100.0
1971-02-27,289000.0,99.9,290000.0,284000.0,2717000.0,130.6,2081000.0,2100000.0,5.1,3.9,53221100.0
1971-03-06,306000.0,103.0,297000.0,284250.0,2703000.0,126.8,2132000.0,2103000.0,5.1,4.0,53221100.0
1971-03-13,275000.0,96.0,287000.0,285500.0,2634000.0,123.9,2126000.0,2114750.0,4.9,4.0,53221100.0
1971-03-20,260000.0,89.8,291000.0,291250.0,2561000.0,119.7,2140000.0,2119750.0,4.8,4.0,53221100.0
1971-03-27,261000.0,87.0,300000.0,293750.0,2505000.0,116.2,2157000.0,2138750.0,4.7,4.1,53221100.0
1971-04-03,267000.0,89.2,299000.0,294250.0,2406000.0,112.7,2135000.0,2139500.0,4.5,4.0,53155200.0
1971-04-10,278000.0,99.7,279000.0,292250.0,2374000.0,110.1,2156000.0,2147000.0,4.5,4.1,53155200.0
1971-04-17,257000.0,90.9,284000.0,290500.0,2323000.0,107.4,2163000.0,2152750.0,4.4,4.1,53155200.0
1971-04-24,248000.0,86.4,288000.0,287500.0,2226000.0,104.7,2127000.0,2145250.0,4.2,4.0,53155200.0
1971-05-01,237000.0,82.0,290000.0,285250.0,2144000.0,99.4,2157000.0,2150750.0,4.0,4.1,53155200.0
